productName,category,batchNum,supplier,date,availableQty,damageQty,displayQty,description,isNil,isCancelled
E61 2057,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,21,0,0,,FALSE,FALSE
E62 1084,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,7,0,0,,FALSE,FALSE
E62 1085,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,8,0,0,,FALSE,FALSE
E63 2062,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
E63 2063,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,4,0,0,,FALSE,FALSE
E63 2064,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,3,0,0,,FALSE,FALSE
E63 2065,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,5,0,0,,FALSE,FALSE
E63 2066,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,8,0,0,,FALSE,FALSE
E63 2067,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,13,0,0,,FALSE,FALSE
E64 2067,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,5,0,0,,FALSE,FALSE
MT 501,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,8,0,0,,FALSE,FALSE
MT 601,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,5,0,0,,FALSE,FALSE
SF 501 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
SF 502 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,2,1,0,,FALSE,FALSE
SF 507 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,5,0,0,,FALSE,FALSE
SF 509 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,1,3,0,COLOR DEFECT,FALSE,FALSE
SF 534 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
SF 563 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,18,0,0,,FALSE,FALSE
SF 568 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,3,0,0,,FALSE,FALSE
SF 576 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,3,0,0,,FALSE,FALSE
SF 589 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,5,0,0,,FALSE,FALSE
SF 593 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,2,0,0,,FALSE,FALSE
SF 594 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,4,1,0,,FALSE,FALSE
SF 595 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,5,0,0,,FALSE,FALSE
SF 596 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,8,0,0,,FALSE,FALSE
SF 598 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,1,0,0,,FALSE,FALSE
SF 600 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,4,0,0,,FALSE,FALSE
SF 605 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,1,0,0,,FALSE,FALSE
SF 607 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,1,0,0,,FALSE,FALSE
SF 611 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,3,0,0,,FALSE,FALSE
SF 612 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,0,0,0,,FALSE,FALSE
SF 614 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,5,0,0,,FALSE,FALSE
SF 615 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
SF 616 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,18,0,0,,FALSE,FALSE
SF 617 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,10,0,0,,FALSE,FALSE
SF 618 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,5,0,0,,FALSE,FALSE
